Time of immersion (hours);Frequency (Hz);Zre (ohms);Zim (ohms);Sample
1;0,158489316701889;1043,86350606401;-302,882392208413;LDH-M2-6-18h-DS
1;0,125892534852028;1087,77464374891;-267,506536278505;LDH-M2-6-18h-DS
1;0,100000001490116;1120,33194196397;-230,161200381752;LDH-M2-6-18h-DS
1;0,0794328227639198;1141,63765814415;-192,671591107068;LDH-M2-6-18h-DS
1;0,0630957335233688;1151,68924160465;-160,48643738576;LDH-M2-6-18h-DS
1;0,0501187220215797;1152,6863371484;-130,669218963238;LDH-M2-6-18h-DS
1;0,0398107171058655;1146,45288996055;-106,09889471116;LDH-M2-6-18h-DS
1;0,0316227748990059;1134,88631723473;-85,6257906352114;LDH-M2-6-18h-DS
1;0,0251188650727272;1114,76761922951;-68,6470733829012;LDH-M2-6-18h-DS
1;0,0199526231735945;1088,67756734601;-54,7332567840568;LDH-M2-6-18h-DS
1;0,015848932787776;1074,40567157619;-44,6863295773216;LDH-M2-6-18h-DS
1;0,0125892544165254;1070,30512190348;-37,6462529707227;LDH-M2-6-18h-DS
1;0,00999999977648258;1077,16141237274;-32,9516247134595;LDH-M2-6-18h-DS
4;100000;77,0132759690471;-1,76003105748154;LDH-M2-6-18h-DS
4;79432,8203125;74,8787201686732;-1,48898007075451;LDH-M2-6-18h-DS
4;63095,734375;74,1517376154111;-1,32731209150242;LDH-M2-6-18h-DS
4;50118,72265625;73,8632032867279;-1,3903057883908;LDH-M2-6-18h-DS
4;39810,71875;73,4344336390475;-1,29823919503444;LDH-M2-6-18h-DS
4;31622,77734375;72,8236536103254;-1,316778392768;LDH-M2-6-18h-DS
4;25118,865234375;73,0770876339283;-1,28977613917711;LDH-M2-6-18h-DS
4;19952,623046875;73,3254290226271;-1,37186145512887;LDH-M2-6-18h-DS
4;15848,931640625;72,3478834379625;-1,39888531429726;LDH-M2-6-18h-DS
4;12589,25390625;72,3945170688731;-1,46190975486527;LDH-M2-6-18h-DS
4;10000;72,4038669266226;-1,62202435407288;LDH-M2-6-18h-DS
